town,apartments_condos_multis_per_residential_parcels_2011,assessed_home_value_changes_2009-2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,education_spending_as_a_percent_2012,education_spending_per_resident_2012,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2020_biden_margin,population,vax_level
Templeton,0.094,-0.221,9.9,233.4,49.8,10.2,414.3,,0.031,74.5,,,,,49.5,,,,111.0,5.0,16.1,28.6,6.1,2.7,19.8,17.4,8.0,21829,-0.05,0.5,21.2,41.7,95.6,,0.234,30.9,31.9,,18.6,,0.68,0.003,30.0,85.0,0.078,,88.4,23.0,,43.8,225.2,8.6,0.933,10.2,89.8,,,379,13.6,5174,0.71,20.6,4495,-5.0,2159.0,low
Tewksbury,0.241,-0.089,9.1,105.0,41.7,8.9,471.5,20.6,0.175,115.2,34.0,47.9,1404.0,2772.0,51.5,4.84,134.0,21.3,60.7,0.3,4.7,6.6,4.9,2.7,21.5,17.3,9.1,33175,0.05,0.4,13.5,42.2,74.8,6.9,-0.085,25.3,54.8,178.0,23.7,6.4,2.86,0.01,36.0,209.0,0.239,12291.0,80.6,20.2,-0.137,43.5,1.7,15.0,0.905,5.1,94.9,70175.0,0.32,351,33.2,21503,0.65,28.1,19137,6.0,7386.0,high
Tisbury,0.119,,9.4,1623.2,,13.0,614.8,17.1,,77.5,120.0,43.8,2356.0,5386.0,51.2,1.04,56.0,16.8,60.7,12.7,12.7,30.1,7.8,2.19,35.9,22.0,6.9,49470,-0.18,1.5,27.9,47.6,54.7,28.8,-0.19,33.4,16.1,357.0,35.2,6.6,1.05,0.014,336.0,285.0,,20212.0,88.9,111.9,0.078,39.3,0.0,3.0,0.951,,93.5,78323.0,0.27,690,17.3,3386,0.86,36.4,2835,59.0,1071.0,very high
Topsfield,0.037,-0.096,6.4,190.6,22.8,9.6,455.5,15.8,0.016,80.9,112.0,44.7,1954.0,4253.0,51.7,2.19,93.0,9.9,83.0,13.1,9.9,10.8,6.0,2.84,16.7,20.7,4.2,57151,-0.2,0.2,3.3,43.8,77.2,6.6,0.065,18.7,36.4,216.0,21.2,5.1,3.31,0.008,101.0,,0.12,13152.0,91.7,28.3,-0.118,58.9,6.5,8.9,0.91,5.7,94.3,67057.0,0.33,369,,4702,0.34,18.5,4144,21.0,1077.0,very high
Townsend,0.106,-0.202,9.7,197.2,64.3,10.1,458.7,,0.07,87.9,23.0,55.1,992.0,1658.0,50.6,4.89,81.0,9.0,88.0,0.0,15.1,16.3,4.1,2.75,18.4,18.4,3.8,29308,0.05,0.9,11.2,39.5,90.1,,0.124,41.6,39.8,132.0,16.7,7.9,2.17,0.01,20.0,,0.068,,90.2,28.9,,32.4,38.8,7.0,0.947,13.9,86.2,,,399,,6212,0.71,16.4,5476,1.2,2238.0,medium
Truro,0.194,-0.107,6.0,1078.4,89.9,10.9,526.7,19.2,0.133,117.8,667.0,28.8,2040.0,6505.0,50.6,1.82,119.0,16.6,139.9,20.0,0.0,17.4,1.3,2.03,33.3,30.0,4.9,34636,0.13,0.0,69.9,53.0,69.6,16.1,0.152,37.9,13.2,649.0,69.5,10.0,2.03,0.0,80.0,198.0,0.134,20636.0,93.6,96.9,0.007,38.7,15.0,2.6,0.985,7.9,92.1,61180.0,0.4,592,19.8,1760,0.66,37.9,1762,59.0,309.0,very high
Tyngsborough,0.207,-0.117,11.3,194.8,40.3,9.3,472.1,20.3,0.148,114.8,30.0,54.0,1544.0,2686.0,51.2,1.66,45.0,15.6,71.0,1.8,10.0,11.0,5.9,2.82,18.2,18.2,5.2,36269,0.1,0.6,28.3,40.4,79.4,14.4,0.019,28.6,45.8,218.0,25.5,8.1,4.48,0.011,56.0,,0.139,,85.9,21.3,-0.104,32.7,12.3,23.7,0.89,8.4,91.6,64795.0,0.42,384,,8260,1.43,23.0,7545,9.0,3022.0,medium
Tyringham,0.034,-0.031,6.1,1284.4,,10.6,470.9,,0.0,91.7,8.0,22.6,832.0,3122.0,52.6,2.46,77.0,18.6,289.2,91.7,0.0,24.4,0.0,2.25,23.9,22.0,17.4,20034,-0.35,0.0,30.6,55.9,83.1,,-0.385,24.5,7.2,183.0,,5.9,0.39,-0.006,13.0,,0.02,,93.4,24.5,,39.4,953.8,4.4,0.967,11.3,88.7,,,514,,310,0.23,25.8,314,52.0,31.0,high
Upton,0.087,-0.115,9.3,244.0,15.9,9.4,436.1,,0.036,88.8,30.0,58.0,1283.0,2212.0,51.0,3.37,75.0,7.6,100.9,2.7,21.2,24.6,4.6,2.76,19.5,19.7,3.5,41233,-0.12,0.1,9.3,42.3,102.6,,0.086,31.8,21.2,201.0,,9.1,1.84,0.004,35.0,98.0,0.19,,93.7,28.6,,39.1,21.1,2.8,0.908,10.2,89.9,,,376,10.5,5142,1.18,19.3,5300,22.0,2218.0,medium
Uxbridge,0.273,-0.15,10.3,226.6,53.3,9.8,466.2,19.5,0.16,90.0,34.0,55.7,1480.0,2657.0,50.2,1.34,36.0,17.5,104.1,38.6,14.8,25.8,5.8,2.65,21.8,16.1,7.6,30398,-0.07,0.3,15.6,40.8,94.9,8.2,0.359,37.4,34.8,125.0,17.0,4.7,0.92,0.003,33.0,111.0,0.2,12074.0,85.3,27.9,-0.073,37.0,17.8,27.8,0.895,5.0,95.0,68804.0,0.27,371,13.9,10140,1.17,22.2,8727,3.0,3655.0,medium
Wakefield,0.249,0.007,12.6,92.7,27.0,9.0,466.7,19.3,0.122,60.0,46.0,47.8,1124.0,2307.0,51.9,5.96,138.0,25.5,49.1,36.9,5.1,41.4,3.2,2.47,28.1,16.1,9.9,36357,-0.04,0.3,9.6,41.8,54.4,10.1,0.028,18.9,30.9,146.0,17.5,6.3,0.27,0.01,102.0,122.0,0.186,12512.0,84.4,16.1,-0.004,37.9,0.8,10.8,0.921,7.8,92.2,63623.0,0.37,322,26.4,17295,0.13,30.5,16623,25.0,7259.0,high
Wales,0.051,-0.122,8.2,674.6,16.3,11.4,459.2,14.9,0.002,22.3,31.0,59.6,1180.0,1912.0,49.3,0.59,11.0,14.5,179.4,0.0,35.5,20.3,3.4,2.5,27.0,15.1,2.8,20918,0.0,0.5,10.9,43.6,92.1,12.2,-0.061,50.6,39.4,28.0,,1.4,2.7,0.001,13.0,27.0,0.11,11994.0,91.9,17.4,-0.138,35.7,135.9,24.4,0.961,15.3,84.7,64310.0,0.25,436,5.4,1297,1.1,18.6,1087,-17.0,493.0,low
Walpole,0.175,-0.085,9.8,112.2,19.4,9.1,431.0,21.0,0.119,91.0,68.0,50.9,1432.0,2816.0,50.9,4.82,136.0,17.5,39.6,0.8,1.7,17.9,4.4,2.69,22.9,20.1,8.9,41680,-0.07,0.3,15.8,42.7,70.4,14.7,0.178,17.6,31.5,173.0,16.1,6.1,1.64,0.007,127.0,153.0,0.208,12021.0,85.9,18.6,0.023,48.7,1.2,11.9,0.871,8.1,91.9,66024.0,0.34,346,5.3,17050,0.5,24.2,16166,20.0,6293.0,high
Waltham,0.385,,13.1,44.4,31.2,9.2,437.6,16.1,0.197,117.0,55.0,43.3,1036.0,2357.0,50.2,9.16,216.0,11.9,23.8,18.0,4.5,38.8,10.1,2.28,34.9,18.8,7.0,28382,-0.03,0.8,15.7,34.0,46.0,50.6,-0.122,12.0,26.6,214.0,28.5,9.1,0.28,0.009,406.0,138.0,,18899.0,66.8,11.4,0.073,28.2,0.5,6.8,0.868,14.5,85.5,67907.0,0.42,256,23.7,35565,0.3,35.2,28896,44.0,18221.0,high
Ware,0.15,-0.09,11.6,421.4,37.5,11.6,410.3,21.5,0.004,99.2,35.0,49.3,1266.0,2531.0,50.9,3.25,82.0,17.9,135.5,6.1,9.6,41.6,6.3,2.39,29.1,15.2,14.0,21823,0.0,1.2,21.3,43.1,59.9,11.5,-0.016,31.9,32.0,157.0,13.1,6.2,0.31,-0.002,3.0,201.0,0.129,11919.0,85.2,21.5,0.043,38.4,97.4,39.7,0.927,10.8,89.2,56397.0,0.3,383,41.2,6410,0.28,31.3,4951,-1.8,2535.0,low
Wareham,0.077,-0.232,9.9,1076.9,120.3,10.4,462.1,17.3,0.038,131.1,20.0,63.0,1333.0,2118.0,51.9,,,7.4,88.3,1.8,7.6,22.8,13.8,2.38,29.7,12.4,5.8,20800,-0.09,1.8,23.4,44.9,76.5,25.3,0.244,28.5,43.2,218.0,26.9,10.3,1.88,0.005,60.0,406.0,0.08,11953.0,82.0,60.4,-0.119,42.3,5.0,24.0,0.945,7.5,92.5,60003.0,0.3,386,68.7,15091,0.33,26.7,12726,11.0,5426.0,low
Warren,0.155,-0.215,9.5,261.0,,10.8,411.5,,0.014,81.4,42.0,47.5,635.0,1300.0,50.2,2.98,39.0,9.7,134.7,7.8,37.7,46.1,5.0,2.54,25.4,13.5,7.0,16792,-0.04,0.8,19.5,42.0,74.4,,0.169,33.7,36.1,116.0,19.4,8.9,0.51,0.003,10.0,,0.026,,88.1,18.5,,37.9,67.9,9.1,0.954,8.6,91.4,,,362,,3203,0.36,24.5,2599,-9.0,1410.0,low
Warwick,0.008,-0.094,3.8,371.8,,10.3,457.7,,0.0,71.8,35.0,51.4,1068.0,2077.0,50.1,1.4,29.0,8.6,162.2,0.0,30.3,34.0,2.3,2.37,23.7,21.9,7.3,20021,-0.01,0.0,,49.5,82.9,,0.04,33.3,30.4,32.0,,1.5,0.82,0.004,9.0,,0.049,,94.9,26.9,,26.9,293.7,11.1,0.939,21.2,78.9,,,433,,563,0.45,25.0,523,35.0,143.0,medium
Watertown,0.694,,14.9,63.0,24.8,8.9,479.1,17.1,0.326,62.9,86.0,37.4,1062.0,2305.0,53.1,8.05,186.0,23.1,18.2,2.5,8.6,56.2,9.6,2.15,35.8,23.5,7.6,35554,0.02,0.3,17.5,38.8,38.5,29.2,-0.07,13.3,20.0,183.0,24.0,7.9,-0.15,0.01,502.0,162.0,,16493.0,81.2,11.1,0.068,33.7,0.9,8.5,0.855,8.3,91.7,71129.0,0.45,228,17.2,22517,0.15,44.3,19227,58.0,9697.0,very high
Wayland,0.126,-0.091,7.6,158.5,4.6,8.6,483.5,18.0,0.113,81.0,150.0,48.7,2410.0,4758.0,51.7,3.7,176.0,17.6,45.2,3.1,4.4,19.1,4.0,2.69,20.2,34.0,8.6,136900,-0.03,0.2,13.1,46.3,66.8,26.3,0.129,14.2,19.3,174.0,22.2,3.7,1.95,0.011,443.0,38.0,-0.007,15902.0,94.8,16.7,-0.018,57.5,0.8,5.8,0.92,7.0,93.0,84238.0,0.39,317,6.0,9884,0.24,29.1,9302,61.0,3044.0,very high
Webster,0.264,-0.194,11.2,823.0,,10.2,460.2,20.0,0.054,81.1,,,,,51.6,,,,65.1,4.2,7.8,39.9,6.4,2.32,31.6,11.9,7.8,22257,-0.04,1.9,23.3,40.5,60.6,26.7,0.097,24.3,27.8,,20.2,,0.27,0.003,23.0,329.0,0.142,12786.0,83.9,16.9,-0.037,36.7,23.8,29.6,0.845,7.8,92.2,62586.0,0.38,294,66.0,11636,0.49,29.4,8298,0.08,4151.0,medium
Wellesley,0.077,-0.003,8.6,49.3,13.1,8.5,383.1,17.4,0.052,154.3,97.0,51.4,2098.0,4072.0,55.9,3.99,163.0,15.2,24.5,2.5,1.7,39.1,4.1,2.78,20.7,31.9,7.5,134245,-0.12,0.0,5.7,37.2,60.9,22.9,-0.169,5.3,15.3,188.0,19.9,4.6,0.36,0.006,791.0,74.0,0.231,15085.0,88.0,10.2,0.012,55.9,0.4,6.5,0.814,9.5,90.5,78731.0,0.52,272,4.2,18947,0.18,29.6,16342,57.0,5413.0,high
Wellfleet,0.11,-0.07,6.5,2130.9,61.9,11.0,581.8,13.3,0.074,146.2,299.0,29.2,1704.0,5653.0,53.3,7.33,415.0,14.6,100.8,47.3,3.5,17.5,0.5,2.01,37.3,32.3,2.4,31815,-0.03,0.0,123.6,60.1,66.4,9.7,0.077,35.6,11.0,525.0,61.4,9.3,1.45,-0.001,97.0,195.0,0.164,22633.0,94.9,86.9,0.069,44.4,0.0,2.3,0.993,6.3,93.7,62809.0,0.17,590,21.6,2721,0.62,39.1,2516,59.0,536.0,high
Wendell,0.029,-0.035,5.9,294.8,,11.9,574.3,,,40.1,41.0,51.0,1219.0,1946.0,50.4,0.73,14.0,5.7,145.7,11.8,83.3,17.9,4.6,2.16,30.4,30.9,4.1,19980,-0.13,1.2,23.6,48.5,78.2,,0.029,41.3,15.3,26.0,,1.3,1.48,0.004,9.0,,0.08,,83.4,23.6,,21.0,105.8,10.7,0.854,,77.8,,,439,,684,0.72,32.2,614,62.0,163.0,high
Wenham,0.074,-0.22,4.7,172.3,14.3,9.7,356.1,,0.027,79.8,146.0,55.8,1594.0,2856.0,54.7,3.44,98.0,6.7,52.0,16.4,5.3,22.2,0.7,2.67,23.2,25.2,5.9,76432,-0.13,0.2,,28.6,70.2,,0.056,11.7,19.1,209.0,20.4,7.3,1.97,0.006,67.0,67.0,0.052,,95.6,17.8,,61.3,0.0,2.3,0.778,8.6,91.4,,,248,6.1,2894,0.35,17.9,2608,38.0,666.0,very high
West Boylston,0.192,-0.149,6.8,178.6,35.1,9.2,431.9,17.8,0.14,84.5,38.0,48.3,1273.0,2442.0,44.6,3.05,74.0,18.6,72.3,6.5,11.0,22.9,2.9,2.43,25.9,16.1,9.6,27780,0.01,0.1,17.0,40.4,70.9,10.9,0.117,21.1,27.5,151.0,23.3,6.2,1.98,0.003,48.0,133.0,0.07,12384.0,79.3,23.5,-0.104,45.5,44.2,18.5,0.948,12.2,87.8,74304.0,0.34,320,7.7,5099,0.38,20.6,4802,19.0,1758.0,high
West Bridgewater,0.083,-0.172,11.3,212.6,51.8,10.8,447.5,19.7,0.027,196.6,84.0,44.6,1431.0,3100.0,50.8,7.98,247.0,15.6,87.9,1.4,8.1,28.8,5.2,2.63,23.3,14.1,12.6,29948,-0.04,0.7,30.4,42.4,72.5,7.6,-0.062,30.8,47.1,284.0,30.2,9.1,0.7,0.005,7.0,214.0,0.146,10952.0,68.7,40.8,0.043,46.6,10.1,15.2,0.977,8.0,92.0,50616.0,0.44,424,12.8,5177,0.45,22.0,4625,-1.0,1742.0,medium
West Brookfield,0.068,-0.217,9.5,791.7,,10.3,449.3,,0.01,31.3,61.0,52.0,795.0,1452.0,52.5,1.81,26.0,8.7,148.4,16.2,3.8,33.6,6.5,2.4,26.2,19.3,6.1,31101,0.08,0.3,24.3,46.9,79.7,,0.357,35.9,23.0,130.0,18.8,9.0,1.21,0.003,17.0,,0.044,,91.8,24.3,,44.2,193.9,8.9,0.985,9.5,90.5,,,409,,2524,0.52,23.3,2327,0.43,885.0,medium
West Newbury,0.08,-0.117,5.2,384.9,16.4,9.7,464.7,,0.03,61.4,70.0,49.6,1301.0,2521.0,50.3,2.49,63.0,6.5,89.3,11.8,7.2,24.8,4.4,2.8,13.9,23.5,6.1,52043,-0.01,0.7,4.7,43.6,95.1,,0.452,25.0,18.6,179.0,16.4,7.1,1.65,0.008,58.0,58.0,0.152,,96.5,42.5,,39.7,2.3,2.2,0.883,7.8,92.3,,,376,25.5,3199,0.87,22.7,3270,32.0,839.0,high
West Springfield,0.198,-0.102,13.0,165.2,95.4,9.9,463.2,15.5,0.071,80.4,47.0,46.4,1268.0,2727.0,51.2,5.5,150.0,8.4,63.2,0.7,10.0,29.2,9.1,2.33,34.3,10.8,8.4,23896,-0.04,1.1,17.3,39.6,46.8,28.6,0.113,16.3,29.1,237.0,29.8,8.7,0.39,0.001,33.0,479.0,0.007,13039.0,69.3,12.4,-0.025,34.6,22.5,24.1,0.911,7.4,92.6,62477.0,0.33,292,54.4,17287,0.21,30.9,13513,8.0,7367.0,medium
West Stockbridge,0.03,-0.113,8.4,237.4,,9.8,505.4,,,89.6,31.0,61.5,2017.0,2684.0,51.9,0.53,14.0,6.4,117.1,23.0,11.4,32.6,0.0,2.2,29.2,20.7,9.3,27401,0.0,0.8,68.9,48.8,64.0,,0.577,31.4,15.2,106.0,,4.0,0.12,-0.006,48.0,,0.097,,93.2,10.0,,36.4,53.9,2.0,0.972,,96.3,,,427,,1113,0.25,34.9,971,64.0,165.0,very high
West Tisbury,0.017,-0.111,9.9,456.2,39.6,13.3,506.6,,,46.0,198.0,56.7,2896.0,5111.0,52.3,1.74,89.0,5.8,98.3,3.6,15.9,15.8,2.7,2.26,29.4,21.9,2.5,27603,-0.09,0.4,,42.3,67.9,,0.261,42.3,10.9,336.0,,6.6,6.9,0.014,122.0,61.0,0.092,,95.6,83.9,,31.8,0.0,7.0,0.968,,81.7,,,640,7.1,2394,1.85,40.5,2295,69.0,598.0,high
Westborough,0.204,-0.04,10.2,100.7,,8.6,472.8,16.4,0.131,130.8,61.0,52.9,2218.0,4073.0,51.0,4.45,181.0,15.1,46.0,5.5,4.1,13.0,7.5,2.57,25.9,23.9,5.3,49336,0.01,0.2,22.4,38.5,72.7,32.0,-0.056,12.1,26.0,140.0,18.5,3.4,1.48,0.003,131.0,109.0,0.175,14545.0,62.2,14.7,-0.011,38.2,9.3,10.0,0.954,8.2,91.8,75090.0,0.31,325,9.7,11598,0.45,25.5,10636,45.0,5292.0,very high
Westfield,0.177,-0.023,9.8,258.2,35.0,10.3,401.9,18.2,0.056,96.2,25.0,55.4,1298.0,2285.0,51.1,5.15,118.0,9.3,85.4,2.9,12.1,27.5,6.1,2.49,27.5,11.4,7.6,22803,0.02,0.8,11.9,38.6,56.1,16.9,0.244,20.6,29.1,149.0,20.6,6.5,0.96,0.001,58.0,186.0,0.171,12568.0,83.6,14.0,-0.045,40.4,62.3,31.1,0.967,8.3,91.7,60626.0,0.26,316,18.3,25061,0.42,28.8,20685,1.7,8996.0,medium
Westford,0.156,-0.042,8.2,175.8,16.7,8.7,467.3,18.7,0.133,100.5,77.0,55.0,2091.0,3688.0,50.3,3.29,121.0,14.1,57.9,5.9,5.6,10.2,6.6,2.93,14.6,25.3,4.5,51165,0.0,0.2,16.4,41.5,88.1,23.5,-0.007,19.2,33.1,193.0,22.6,5.2,4.15,0.01,151.0,72.0,0.106,11449.0,85.5,17.2,-0.009,40.7,10.8,20.0,0.971,9.0,91.0,69319.0,0.4,342,4.9,16115,0.97,22.3,15298,36.0,5454.0,high
Westminster,0.07,-0.22,7.1,560.7,24.7,10.2,470.4,,0.03,134.8,50.0,52.7,1262.0,2330.0,50.0,4.9,114.0,8.3,117.1,5.5,15.7,16.5,4.1,2.68,18.8,19.7,7.5,31786,0.03,0.7,19.2,43.1,89.6,,0.433,39.6,31.7,196.0,24.6,8.4,1.63,0.003,8.0,190.0,0.101,,81.8,29.4,,35.2,94.5,3.6,0.967,9.0,91.0,,,414,13.6,5532,0.84,18.8,5294,4.0,1821.0,medium
Weston,0.061,-0.017,5.9,78.1,13.2,8.6,456.4,22.6,0.051,232.3,106.0,48.8,2957.0,5711.0,52.3,4.37,250.0,18.9,45.6,12.4,1.9,21.8,4.2,2.82,19.8,39.5,8.3,281236,-0.26,0.1,0.9,42.9,68.7,27.0,0.217,13.0,23.6,237.0,24.7,4.2,1.24,0.01,420.0,44.0,0.106,19915.0,95.1,11.9,-0.012,67.7,0.0,4.2,0.79,18.3,81.7,81619.0,0.39,326,0.9,8178,0.15,24.4,7085,48.0,1924.0,very high
Westport,0.089,-0.142,6.5,1042.4,44.4,10.7,505.2,19.9,0.018,89.1,13.0,53.8,1079.0,2004.0,51.3,5.48,110.0,15.3,102.3,1.9,41.4,16.4,3.1,2.52,22.8,10.3,11.7,29848,-0.07,0.8,15.5,45.1,83.1,6.6,0.352,38.3,48.3,162.0,19.8,8.1,2.11,0.001,86.0,168.0,0.144,11718.0,92.5,62.6,-0.126,48.6,2.6,18.6,,6.6,93.4,62026.0,0.4,428,12.7,11598,0.58,38.5,10546,3.0,3695.0,medium
Westwood,0.013,-0.055,6.4,82.8,24.5,8.6,447.7,18.6,0.001,155.0,87.0,52.9,2330.0,4407.0,52.4,4.33,191.0,12.1,28.3,1.4,,18.1,3.3,2.78,22.6,22.8,9.6,96045,-0.02,0.0,3.4,42.9,65.9,14.1,-0.131,9.1,23.6,211.0,24.5,4.8,1.5,0.007,252.0,92.0,0.172,14197.0,86.7,18.1,0.033,71.7,1.4,10.1,0.907,5.8,94.2,72827.0,0.46,334,18.2,10638,0.22,26.3,10545,32.0,2850.0,very high
Weymouth,0.23,-0.141,11.6,207.5,30.7,9.6,438.7,20.7,0.16,135.3,31.0,50.8,1017.0,1935.0,52.6,6.74,130.0,9.9,29.2,2.4,5.1,27.0,7.4,2.37,32.3,15.1,9.4,28108,-0.02,1.0,13.4,41.6,50.6,18.5,-0.035,18.2,35.7,165.0,19.0,8.6,0.64,0.007,125.0,149.0,0.135,12125.0,83.5,25.7,0.005,34.8,2.2,21.7,0.86,10.7,89.4,71418.0,0.41,324,34.4,35181,0.14,33.0,32827,22.0,14431.0,high
Whately,0.056,-0.017,8.7,267.4,46.6,11.3,494.0,13.6,0.0,155.1,33.0,59.1,1739.0,2773.0,49.9,0.86,24.0,11.8,170.6,13.4,0.0,31.5,3.0,2.37,26.0,27.6,8.9,21614,0.05,0.0,33.4,47.5,69.9,3.3,-0.02,33.4,22.4,91.0,,3.3,0.59,0.003,53.0,152.0,0.044,16009.0,74.3,17.4,0.158,41.7,586.3,12.6,0.973,5.6,94.4,55388.0,0.24,442,0.0,1177,0.52,29.6,1107,37.0,332.0,low
Whitman,0.234,-0.145,11.5,108.4,34.3,9.7,405.0,,0.087,95.0,25.0,44.8,759.0,1693.0,51.2,9.58,162.0,11.6,55.7,0.7,10.7,36.2,5.1,2.73,23.0,11.9,7.9,25601,0.01,0.3,12.4,37.7,63.8,,0.115,25.4,48.1,181.0,17.8,10.7,0.72,0.006,1.0,129.0,0.186,,89.8,27.3,,36.1,5.5,7.0,0.969,5.0,95.0,,,356,29.3,9966,0.38,24.8,8629,7.0,4024.0,medium
Wilbraham,0.087,-0.104,6.3,224.3,34.4,10.1,494.2,,0.069,115.7,59.0,62.3,1425.0,2287.0,52.7,4.95,113.0,8.1,77.4,0.7,6.5,12.2,4.7,2.63,21.0,15.0,10.7,39154,-0.04,0.2,11.3,46.8,72.8,,0.228,22.7,28.4,148.0,18.9,6.5,2.55,0.001,58.0,176.0,0.151,,88.7,16.7,,56.9,40.1,3.3,0.937,7.5,92.5,,,354,17.4,10509,0.47,28.2,9397,7.0,3091.0,medium
Williamsburg,0.188,-0.073,10.5,233.7,,10.0,533.4,18.3,0.036,119.3,49.0,54.2,1212.0,2093.0,54.1,1.18,25.0,11.6,123.9,8.1,21.1,41.1,5.1,2.21,30.2,22.5,11.4,22510,0.02,0.4,48.3,47.7,74.2,4.3,0.417,34.2,11.6,77.0,8.0,3.7,0.21,-0.002,59.0,128.0,0.126,13041.0,91.5,15.3,-0.091,34.9,395.6,12.1,0.785,7.6,92.4,60469.0,0.07,434,8.0,1926,0.31,36.8,1822,61.0,542.0,very high
Williamstown,0.152,-0.126,4.5,78.7,35.0,9.2,331.2,16.9,0.067,58.0,63.0,56.8,1236.0,1931.0,53.4,,,14.3,49.6,7.7,24.2,35.1,2.9,2.15,32.8,33.2,9.2,30715,-0.1,0.3,41.3,43.2,45.9,18.6,-0.064,15.1,14.2,124.0,20.5,6.4,0.25,-0.004,306.0,,0.102,12561.0,88.7,5.5,-0.037,52.5,44.0,9.4,0.913,25.9,74.1,,0.19,227,,4810,0.1,44.4,3757,72.0,1018.0,high
Wilmington,0.029,-0.084,11.1,108.4,34.1,9.0,446.1,19.5,0.014,133.3,72.0,57.2,1722.0,3004.0,51.0,5.24,158.0,7.9,64.8,4.5,3.2,15.4,5.9,2.93,15.7,17.2,13.3,35471,0.01,0.4,6.3,41.2,75.2,10.8,-0.031,22.3,59.7,194.0,21.4,6.4,2.17,0.01,75.0,122.0,0.176,13321.0,74.4,20.6,-0.054,45.1,0.9,16.0,0.933,5.3,94.7,64169.0,0.43,385,12.3,15588,0.66,26.4,14806,11.0,5908.0,high
Winchendon,0.117,-0.176,10.3,263.1,25.2,10.4,381.9,19.9,0.013,50.1,16.0,60.1,1405.0,2335.0,49.8,2.6,61.0,4.9,90.4,2.9,24.5,35.0,6.2,2.64,23.8,13.2,3.5,19194,-0.04,1.1,21.4,41.2,79.4,10.4,0.315,32.8,36.5,104.0,18.3,4.4,0.56,0.003,5.0,247.0,0.014,12737.0,90.2,18.9,-0.141,39.0,204.2,49.0,0.911,15.2,84.8,68762.0,0.27,352,32.6,6311,0.82,21.9,5152,-7.0,2718.0,low
Winchester,0.226,0.017,10.0,52.4,20.8,9.0,437.2,19.8,0.161,59.0,74.0,45.0,1672.0,3566.0,52.3,4.63,165.0,18.5,36.2,31.8,3.2,41.4,5.6,2.75,21.8,27.6,9.6,87306,-0.07,0.1,8.0,43.3,53.2,21.7,-0.107,9.7,25.5,174.0,21.4,4.9,0.38,0.01,403.0,93.0,0.152,11954.0,94.7,13.5,0.074,51.0,0.5,8.6,0.964,5.3,94.7,70128.0,0.4,302,5.5,15426,0.19,29.9,13870,44.0,5136.0,very high
Windsor,0.009,-0.108,1.1,511.7,,11.7,409.3,,,105.7,5.0,67.1,1248.0,1861.0,49.2,0.97,18.0,4.4,242.7,11.1,7.0,25.6,4.1,2.44,19.0,25.6,4.6,23838,-0.13,1.1,22.2,48.6,81.9,,0.15,51.2,5.4,29.0,,1.5,1.42,-0.006,4.0,,0.075,,94.2,15.6,,30.0,883.7,9.1,0.916,,87.5,,,505,,664,0.76,25.6,579,29.0,185.0,low
Winthrop,0.541,-0.149,9.7,426.9,43.4,9.5,407.2,18.8,0.214,37.4,26.0,43.9,947.0,1847.0,51.7,6.3,116.0,22.9,38.8,2.9,3.7,59.6,8.1,2.24,34.4,12.9,9.0,28149,0.07,0.9,12.0,42.6,34.4,14.1,-0.17,13.1,24.4,126.0,18.2,6.8,-0.1,0.014,187.0,104.0,0.272,11569.0,92.9,25.2,-0.02,36.3,0.6,20.6,0.892,10.3,89.7,60257.0,0.43,252,21.8,11458,-0.02,40.7,10252,25.0,4632.0,high
